fields.centroid;Année;Type EPCI;CODE GRAND SECTEUR;Code Departement;fields.nombre_de_mailles_secretisees;Nom COMMUNE;Nom Departement;Code EPCI;Code Region;Code COMMUNE;CODE SECTEUR NAF2;CODE CATEGORIE CONSOMMATION;Nb sites;Nom Region;Conso moyenne (MWh);Conso totale (MWh);Nom EPCI;geometry.type;geometry_coord;Superficie des logements 30 à 40 m2;Residences principales apres 2016;Residences principales de 2006 a 2015;Residences principales de 1991 a 2005;Superficie des logements 60 à 80 m2;Residences principales de 1946 a 1970;Residences principales avant 1919;Residences principales de 1971 a 1990;Superficie des logements 40 à 60 m2;Superficie des logements < 30 m2;Nombre d'habitants;Taux de logements collectifs;Residences principales de 1919 a 1945;Superficie des logements > 100 m2;Taux de résidences principales;Superficie des logements 80 à 100 m2;Taux de chauffage électrique;Conso moyenne usages thermosensibles (MWh);Conso moyenne corrigée de l'aléa climatique  usages thermosensibles (MWh);DJU à TR;Conso totale corrigée de l'aléa climatique  usages thermosensibles (MWh);Part thermosensible (%);Conso totale  usages thermosensibles (MWh);Thermosensibilité totale (kWh/DJU);Conso totale  usages non thermosensibles (MWh);Thermosensibilité moyenne (kWh/DJU);Conso moyenne  usages non thermosensibles (MWh);DJU à TN
[45.650617932, 5.896469869];2018;CA;TERTIAIRE;73;0;Viviers-du-Lac;Savoie;200068674;84;73328;33;ENT;1.0;Auvergne-Rhône-Alpes;159.33201869054338;159.33201869054338;CA Grand Lac - CA du Lac du Bourget;Point;[5.896469869, 45.650617932];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.627173289, 5.89061104];2018;CA;INDUSTRIE;73;0;Voglans;Savoie;200068674;84;73329;;PRO;24.0;Auvergne-Rhône-Alpes;15.96991549409115;383.2779718581876;CA Grand Lac - CA du Lac du Bourget;Point;[5.89061104, 45.627173289];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.627173289, 5.89061104];2018;CA;RESIDENTIEL;73;0;Voglans;Savoie;200068674;84;73329;;RES;803.0;Auvergne-Rhône-Alpes;6.117123994091669;4912.05056725561;CA Grand Lac - CA du Lac du Bourget;Point;[5.89061104, 45.627173289];2.61646869548822;0.7268052948008;7.84940608646467;36.9213142205501;15.9895508540104;15.5534704376567;4.07006548245589;31.6810338283234;9.15764733552574;3.62665586748588;1785.0;28.7329954204654;3.1979046497485;42.8810431036934;93.6242782880273;25.7286341437964;20.9244341679234;1.1738770351837198;1.234297909124893;1702.8984999999982;991.141221027289;19.19;942.623259252527;553.540483623967;4.943246958907949;0.6893405773648407;3969.427308003083;1790.548749999999
[45.701859127, 5.764289965];2018;CC;INDUSTRIE;73;0;Yenne;Savoie;247300262;84;73330;16;ENT;1.0;Auvergne-Rhône-Alpes;47.9128747935296;47.9128747935296;CC de Yenne;Point;[5.764289965, 45.701859127];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.701859127, 5.764289965];2018;CC;INDUSTRIE;73;0;Yenne;Savoie;247300262;84;73330;33;ENT;1.0;Auvergne-Rhône-Alpes;99.87352383778438;99.87352383778438;CC de Yenne;Point;[5.764289965, 45.701859127];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.701859127, 5.764289965];2018;CC;INDUSTRIE;73;0;Yenne;Savoie;247300262;84;73330;35;ENT;1.0;Auvergne-Rhône-Alpes;4.821166666666666;4.821166666666666;CC de Yenne;Point;[5.764289965, 45.701859127];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.701859127, 5.764289965];2018;CC;TERTIAIRE;73;0;Yenne;Savoie;247300262;84;73330;68;ENT;5.0;Auvergne-Rhône-Alpes;44.87243316846475;224.36216584232375;CC de Yenne;Point;[5.764289965, 45.701859127];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.701859127, 5.764289965];2018;CC;TERTIAIRE;73;0;Yenne;Savoie;247300262;84;73330;84;ENT;7.0;Auvergne-Rhône-Alpes;57.888692228505164;405.2208455995362;CC de Yenne;Point;[5.764289965, 45.701859127];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.701859127, 5.764289965];2018;CC;TERTIAIRE;73;0;Yenne;Savoie;247300262;84;73330;85;ENT;1.0;Auvergne-Rhône-Alpes;101.61781265814686;101.61781265814686;CC de Yenne;Point;[5.764289965, 45.701859127];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.452309279, 6.324871433];2018;CC;INDUSTRIE;73;0;Épierre;Savoie;247300676;84;73109;26;ENT;1.0;Auvergne-Rhône-Alpes;350.39872532686826;350.39872532686826;CC Porte de Maurienne;Point;[6.324871433, 45.452309279];;;;;;;;;;;;;;;;;;;;;;;;;;;;
